student_id,age,grade,homework_completion,practice_tests_avg,class_participation,geometry_score,algebra1_score,recent_quiz_avg,study_hours_per_week,at_risk
S001,13,6,100.0,59.98,10.0,75.27,56.92,55.72,6.02,1
S002,14,8,90.39,70.78,10.0,86.05,81.76,71.16,8.87,0
S003,12,8,74.63,100.0,10.0,69.6,68.65,73.87,6.63,0
S004,14,5,83.1,84.61,9.42,56.77,68.64,51.37,4.9,0
S005,14,6,76.24,66.43,9.05,67.55,81.48,75.01,4.63,0
S006,11,5,71.17,83.59,8.19,58.83,76.08,67.67,4.29,0
S007,12,7,94.26,95.99,8.56,59.87,78.85,41.38,7.36,0
S008,12,7,100.0,88.87,5.9,67.83,83.62,57.09,3.75,0
S009,12,5,71.01,75.89,5.36,58.11,68.02,63.8,5.09,0
S010,14,8,90.63,65.3,6.99,65.38,64.65,98.32,5.1,0
S011,13,8,78.49,85.47,6.66,41.6,58.98,78.35,4.0,1
S012,12,5,80.13,80.9,6.09,73.2,62.1,49.97,2.26,0
S013,14,5,79.08,88.43,8.39,70.02,100.0,77.29,5.65,0
S014,11,7,76.36,84.53,8.91,57.74,86.94,46.79,4.88,0
S015,13,8,85.49,90.74,7.18,79.89,55.79,86.24,6.0,0
S016,11,5,76.69,66.97,9.96,84.06,56.13,62.93,3.93,0
S017,13,7,87.7,94.76,4.72,45.89,77.78,68.6,7.44,1
S018,14,8,84.5,77.96,6.61,58.56,78.57,89.89,3.25,0
S019,10,6,82.61,100.0,5.57,58.46,78.59,50.69,8.42,0
S020,13,7,75.92,64.66,3.27,55.9,68.94,49.04,1.5,0
S021,11,8,79.23,100.0,6.83,82.44,70.49,61.25,5.87,0
S022,14,8,92.55,77.97,6.76,67.09,75.93,85.58,5.95,0
S023,13,7,90.01,65.23,10.0,66.03,73.03,47.21,3.41,0
S024,10,6,75.22,67.74,8.26,39.94,45.37,30.0,5.85,1
S025,10,7,85.99,70.19,4.95,79.53,69.24,63.23,7.56,0
S026,12,8,92.51,81.36,10.0,51.41,61.78,78.28,0.57,0
S027,12,5,68.31,82.84,9.44,70.9,74.1,88.0,6.01,0
S028,11,5,90.43,66.39,8.16,74.16,100.0,63.05,0.01,0
S029,13,7,78.37,74.63,6.55,90.41,76.41,63.83,3.07,0
S030,13,8,90.71,100.0,5.08,50.37,68.24,87.31,8.26,0
S031,12,5,77.37,100.0,6.26,30.0,83.06,41.95,3.84,1
S032,13,8,66.95,81.54,9.18,72.76,77.79,64.17,2.65,0
S033,13,7,68.72,75.57,10.0,97.01,77.04,72.86,4.6,0
S034,10,5,85.48,76.8,10.0,88.58,79.28,76.74,9.14,0
S035,12,8,87.6,84.2,6.02,73.14,96.68,62.35,1.34,0
S036,14,5,75.96,59.66,4.76,62.63,58.43,70.52,2.9,1
S037,12,7,91.39,71.14,7.28,82.11,77.68,32.68,7.99,0
S038,14,8,68.38,49.97,3.46,55.4,60.88,60.13,8.72,1
S039,10,5,84.34,80.99,7.65,77.15,78.67,76.8,4.79,0
S040,11,7,72.89,84.71,6.7,77.58,60.98,55.27,2.52,0
S041,13,5,78.48,67.75,6.07,85.9,66.99,70.88,9.19,0
S042,10,5,85.47,98.61,3.81,100.0,68.46,76.7,8.19,0
S043,13,6,76.4,56.61,8.03,75.89,83.71,64.86,6.36,1
S044,11,6,81.15,53.03,5.93,62.37,83.02,72.56,3.38,1
S045,11,7,95.06,78.37,4.66,69.62,57.05,55.56,4.9,0
S046,10,6,79.23,90.71,1.26,43.46,72.66,66.9,4.68,1
S047,11,7,93.36,100.0,6.94,59.58,63.49,79.15,5.66,0
S048,14,6,73.7,68.12,10.0,63.86,56.9,72.35,7.9,0
S049,11,5,90.3,91.18,10.0,62.14,69.4,61.2,6.76,0
S050,13,7,99.42,74.42,6.09,72.29,68.3,73.36,2.85,0
S051,13,7,60.28,72.41,5.8,57.66,100.0,80.72,7.75,0
S052,13,5,77.03,88.25,7.94,86.82,77.2,39.25,5.63,0
S053,13,7,90.77,84.78,5.0,70.0,55.47,87.39,6.37,0
S054,14,7,82.97,51.35,7.6,69.86,65.22,64.96,7.93,1
S055,12,6,88.71,97.15,8.53,65.08,84.26,76.38,2.78,0
S056,10,7,78.96,95.7,9.45,72.33,97.06,87.96,4.93,0
S057,13,8,85.87,65.62,6.8,82.38,52.97,49.42,3.94,0
S058,11,5,83.44,80.94,6.59,56.99,49.44,59.36,1.86,0
S059,13,6,96.68,82.41,5.24,60.13,94.45,65.67,5.69,0
S060,11,6,87.54,78.91,5.35,65.44,76.68,58.24,10.0,0
S061,11,8,88.38,66.75,6.55,49.81,61.58,96.02,1.32,1
S062,13,5,80.88,64.93,7.73,57.71,78.42,57.15,4.94,0
S063,14,5,80.12,74.62,8.83,62.86,40.37,61.67,6.28,0
S064,11,6,80.67,92.59,5.39,83.12,72.04,73.07,5.25,0
S065,11,7,88.94,83.15,9.99,73.94,75.93,51.97,4.77,0
S066,13,6,80.79,69.44,6.46,72.9,83.09,64.06,2.4,0
S067,11,5,87.9,86.58,6.96,82.76,59.83,74.76,5.47,0
S068,11,8,100.0,40.0,5.51,67.94,73.03,65.01,3.49,1
S069,13,6,93.71,92.23,2.15,75.86,60.89,68.6,0.62,0
S070,13,5,81.74,48.9,8.77,68.45,75.06,62.06,7.39,1
S071,10,6,97.01,69.56,8.47,73.98,61.26,47.28,6.92,0
S072,14,7,80.92,58.2,6.44,61.26,67.1,74.82,5.1,1
S073,14,6,64.62,55.58,7.13,33.42,60.05,96.32,5.46,1
S074,11,6,74.92,92.41,8.03,67.99,79.81,70.28,7.15,0
S075,14,5,66.29,67.98,3.87,91.34,82.3,73.38,5.45,0
S076,11,5,81.48,80.2,5.94,83.89,69.18,80.39,6.81,0
S077,10,5,85.18,74.3,8.59,84.48,72.46,50.96,4.41,0
S078,13,6,100.0,82.16,4.49,88.54,54.62,95.54,7.62,0
S079,13,7,88.27,76.15,7.59,71.33,68.4,73.03,5.64,0
S080,13,8,82.81,55.76,4.29,72.96,71.4,94.48,5.39,1
S081,14,8,93.29,89.94,7.93,60.74,100.0,59.0,2.46,0
S082,10,5,62.89,67.59,6.93,65.26,58.66,97.27,5.57,0
S083,14,5,87.36,51.65,3.77,79.24,89.57,81.63,3.34,1
S084,14,6,92.71,68.58,9.33,88.06,83.96,78.3,3.72,0
S085,10,8,70.21,97.51,5.53,67.91,75.37,73.51,3.37,0
S086,10,5,96.44,87.75,5.38,63.25,93.1,66.27,2.87,0
S087,10,7,88.38,69.77,7.4,70.01,76.47,88.01,9.25,0
S088,10,7,80.85,69.76,9.3,79.02,76.67,72.11,7.66,0
S089,13,5,91.33,70.18,4.97,48.34,71.36,40.49,8.84,1
S090,12,5,100.0,100.0,7.12,35.56,86.68,53.24,2.55,1
S091,12,8,86.82,80.73,7.86,61.74,85.16,67.21,5.14,0
S092,10,8,87.48,81.45,8.39,51.69,64.49,74.65,2.41,0
S093,12,6,80.41,90.45,7.35,62.38,56.17,69.15,3.61,0
S094,12,8,76.5,78.58,6.27,67.78,69.56,88.28,3.16,0
S095,10,7,93.3,71.11,5.34,63.2,62.4,40.73,7.48,0
S096,12,7,76.44,72.05,7.17,91.79,71.24,72.15,4.21,0
S097,14,5,85.72,73.93,4.86,74.9,86.85,42.73,7.14,0
S098,11,8,80.22,74.44,1.16,74.51,66.51,81.4,6.21,0
S099,11,6,89.79,85.91,7.87,79.33,71.49,68.58,9.61,0
S100,10,7,88.34,75.78,8.81,52.92,72.7,76.29,2.04,0
S101,13,7,95.38,85.99,2.27,85.59,82.18,57.04,7.52,0
S102,10,6,79.9,73.79,4.98,68.86,45.04,89.19,7.29,0
S103,13,6,82.3,76.18,8.24,80.06,64.72,85.63,3.05,0
S104,11,7,75.21,45.03,10.0,53.92,74.54,78.75,7.01,1
S105,10,7,80.56,88.74,7.04,46.69,86.4,68.06,5.67,1
S106,14,6,88.77,80.2,5.54,82.27,66.1,78.7,4.55,0
S107,12,7,92.57,89.97,6.63,75.65,49.48,59.4,3.35,0
S108,13,5,75.78,40.0,9.75,56.47,79.44,82.83,3.56,1
S109,12,5,93.7,100.0,5.71,56.96,64.38,94.74,9.1,0
S110,12,6,98.56,72.91,5.4,86.88,57.72,86.06,5.0,0
S111,10,8,89.13,91.62,6.03,52.16,64.51,59.06,6.56,0
S112,12,6,100.0,59.4,5.09,94.64,69.79,75.42,3.42,1
S113,14,6,77.26,84.19,7.25,56.49,64.74,50.6,3.44,0
S114,12,8,72.55,59.2,10.0,79.58,45.53,78.59,7.16,1
S115,10,8,67.21,65.64,7.65,65.07,82.76,76.76,2.3,0
S116,14,8,99.96,100.0,6.5,79.05,87.3,41.95,4.17,0
S117,11,5,91.54,72.14,6.42,61.84,79.82,52.57,5.07,0
S118,12,7,84.44,78.26,3.87,67.56,58.35,65.75,5.22,0
S119,10,5,87.8,88.05,8.77,70.61,69.58,65.49,4.64,0
S120,11,7,73.75,82.44,6.84,54.97,71.92,51.86,5.79,0
S121,11,5,100.0,77.26,6.64,81.11,79.19,75.83,6.39,0
S122,13,7,86.29,80.47,10.0,62.3,80.02,73.77,6.47,0
S123,14,5,86.09,100.0,7.6,66.57,63.19,67.09,3.03,0
S124,12,8,92.26,74.14,5.5,55.08,72.98,58.66,4.43,0
S125,10,6,89.81,78.02,6.15,31.56,77.49,85.73,7.39,1
S126,13,5,87.24,90.76,9.3,67.13,89.47,94.83,6.79,0
S127,14,7,77.1,91.58,7.23,100.0,80.45,62.75,2.25,0
S128,13,8,89.71,92.81,4.12,81.77,81.47,60.82,5.7,0
S129,14,5,100.0,84.58,8.84,69.71,73.01,77.37,1.04,0
S130,14,5,98.45,57.85,5.66,66.06,88.93,64.63,5.09,1
S131,12,8,100.0,99.5,10.0,70.34,76.92,67.91,8.8,0
S132,14,5,79.89,57.8,9.16,78.21,61.67,81.09,3.1,1
S133,13,6,75.1,79.54,6.11,52.29,88.84,41.36,3.33,0
S134,14,5,83.74,63.69,9.56,86.71,80.37,89.77,6.53,0
S135,12,6,85.56,74.04,7.14,80.73,66.68,71.09,1.91,0
S136,12,6,95.94,79.93,8.71,80.77,66.25,63.83,3.73,0
S137,13,8,68.08,79.82,7.97,76.58,75.56,68.66,6.19,0
S138,11,5,100.0,81.33,5.31,70.29,77.56,69.44,3.73,0
S139,11,8,83.42,99.21,5.71,80.09,74.37,44.03,4.53,0
S140,14,5,80.73,81.8,9.06,78.88,75.74,92.42,6.49,0
S141,10,5,74.88,71.34,6.33,64.69,92.4,70.62,5.84,0
S142,14,7,68.45,89.46,6.19,61.4,84.86,76.65,5.53,0
S143,13,5,93.23,92.84,5.09,71.53,74.29,84.27,4.32,0
S144,13,8,85.73,56.59,7.85,93.24,83.3,54.68,5.74,1
S145,13,6,72.1,83.96,10.0,51.41,59.61,77.1,4.75,0
S146,13,5,72.05,85.52,4.86,47.99,76.78,65.99,5.92,1
S147,13,7,81.64,70.54,7.05,72.47,93.71,82.7,4.01,0
S148,12,8,100.0,95.64,9.82,70.76,69.38,38.09,4.63,0
S149,11,5,82.4,72.75,6.84,72.6,61.83,68.51,3.02,0
S150,13,8,69.97,76.88,7.9,73.66,64.17,60.96,4.93,0
S151,10,7,82.54,72.4,4.88,66.65,58.92,76.48,3.38,0
S152,10,7,82.27,75.23,7.86,92.35,62.58,77.05,2.77,0
S153,10,8,58.03,58.56,6.63,45.99,67.55,59.39,5.52,1
S154,10,5,84.46,53.4,8.97,57.57,55.13,59.32,5.43,1
S155,12,6,82.69,98.92,9.37,68.45,72.19,68.34,6.57,0
S156,10,7,91.96,62.3,10.0,45.35,82.83,56.55,4.14,1
S157,13,5,100.0,60.13,8.16,67.36,61.11,82.63,5.82,0
S158,14,5,96.27,42.7,7.65,94.92,90.23,64.46,6.1,1
S159,10,6,82.31,65.42,7.39,70.31,78.13,30.0,5.89,0
S160,12,7,73.93,55.15,6.29,73.46,84.37,64.38,3.35,1
S161,12,7,100.0,99.63,7.68,51.1,64.11,54.42,5.3,0
S162,10,5,85.59,90.15,6.41,60.75,82.25,45.53,5.73,0
S163,14,5,85.14,64.68,7.34,64.37,58.9,51.44,5.01,0
S164,10,6,84.76,100.0,9.64,65.23,82.68,71.64,0.83,0
S165,12,6,86.98,89.73,4.99,89.22,74.06,89.93,5.32,0
S166,11,7,83.56,70.13,9.28,78.37,78.64,74.7,9.43,0
S167,13,8,79.26,40.0,9.63,53.33,57.89,60.9,4.28,1
S168,12,7,79.53,100.0,6.76,73.7,61.26,76.84,3.54,0
S169,10,5,84.67,54.16,2.76,77.47,79.17,63.11,5.75,1
S170,13,7,79.57,50.32,5.78,87.1,60.62,59.58,5.62,1
S171,10,8,77.87,90.34,9.59,93.71,77.56,52.68,7.39,0
S172,10,6,86.06,100.0,6.95,54.77,55.59,43.72,2.48,0
S173,11,8,82.45,95.76,5.0,57.84,82.18,64.15,6.46,0
S174,13,8,100.0,83.46,5.99,51.14,57.21,72.37,6.18,0
S175,13,8,58.49,83.92,8.68,66.49,78.63,68.55,4.72,1
S176,11,6,95.92,87.8,8.09,77.0,79.51,63.76,5.68,0
S177,12,8,97.46,86.38,6.52,84.81,63.64,55.81,7.06,0
S178,10,8,64.27,79.22,6.27,68.86,78.98,79.12,6.74,0
S179,14,8,81.57,76.56,6.22,65.2,75.13,50.24,2.71,0
S180,10,5,81.29,74.06,5.16,72.28,65.53,81.64,6.64,0
S181,10,8,70.92,63.69,10.0,57.47,59.9,54.97,4.87,0
S182,12,6,77.22,70.79,6.36,100.0,48.45,58.71,5.15,0
S183,10,8,73.89,49.61,9.43,45.89,76.2,48.0,5.15,1
S184,11,8,100.0,73.52,10.0,72.77,53.22,62.48,4.7,0
S185,11,6,94.36,60.17,9.0,100.0,73.14,84.63,7.38,0
S186,13,8,97.72,58.45,6.14,70.1,68.84,77.73,4.83,1
S187,14,6,92.22,77.7,7.81,67.15,80.15,84.68,2.76,0
S188,10,8,73.71,95.88,6.95,64.64,68.38,77.83,4.21,0
S189,10,6,79.75,88.77,5.19,67.29,68.05,53.44,5.36,0
S190,12,8,89.89,51.44,7.65,90.59,80.78,65.04,7.46,1
S191,11,8,72.78,60.16,4.64,36.82,76.02,58.3,6.21,1
S192,14,5,92.13,89.11,9.38,93.0,75.79,89.96,3.3,0
S193,13,5,82.6,60.26,6.07,48.64,77.63,52.05,9.97,1
